Symbol	avExpPos2Naive	avExpNeg2Naive	avExpTex2Naive	avExpAcute2Naive	avExpTex2Acute	avExpPos2Neg
EGR1	-0.246344027584907	-0.323357288322061	0.314971863533096	-0.163305380015959	0.532733983468852	1.05907847570175
EGR2	2.34986883830794	0.107481742220745	0.648651896743189	-0.480098489472615	1.13747500174078	2.57530230359241
EGR3	0.0425353697473057	-2.75311116355697	0	0	0	3.04829634509262
Exhaustion	0	0	0	0	0	0
EZH2	1.82711179955794	2.03821988386111	0.955857126404172	0.433437015025268	0.955901472878924	-0.138799089788422
FOS	1.33313948326672	1.9091435916968	0	0	0	1.08007336726497
FOXO1	-2.17038978402738	-1.69746250857212	0	0	0	0.70413553028935
GATA3	-1.29445820235653	0.285247234070288	0.26986990063601	0.524654319910067	-0.170725278137868	-0.475515786679939
HIF1A	1.5773054268975	0.869547212047459	0.91867340070091	-0.0792523390039282	1.13947731630532	0.823435635773849
HRAS	0.678996627631297	0.885524030041565	0	0	0	-0.366709936030757
ICOS	2.7642432790903	1.38134344591864	0.597493079029934	0.503981871598877	0.226230901012942	1.37499810872864
ID2	1.08249607054921	3.06642809407819	2.01602266655805	2.29264608059394	-0.238153316246493	-1.74218346252682
ID3	0.952594396641117	-3.31617894449726	-0.293069689298404	-0.744992002887543	0.517393074453227	5.80847801168508
IFNAR1	-1.18616252314902	-1.16983482379802	-0.922451566119264	-0.11603021172604	-0.710592367463585	0.581241628789044
IFNAR2	-0.205308467989671	-1.23943950377101	-0.509755421495524	-0.0660881291695017	-0.370344598826494	1.80882207890428
IFNG	8.1597777902895	8.9875693193124	3.23780433638724	3.69785646507362	0.100966482324133	-1.5541401109677
IFNGR1	-1.31150287756281	0.0348984610175035	-0.435078696106493	0.572609522795364	-0.907996461090177	-1.51742620897675
IFNGR2	-3.42245290212729	-4.65472693549443	0	0	0	1.35308611925842
IL12RB1	1.5280820089991	2.70994192498405	0.701547690685511	0.431245329475498	0.29893447695791	-1.24070553363036
IL12RB2	0	0	0.0056456537329449	0.287359492397223	-0.224058839291354	0
IL2	5.44217120401932	3.14713939166805	0.0120400536859969	0.00263165316965311	0.0185342450330976	1.68477890985704
IL21R	-1.06884654401351	-0.365846214545788	0	0	0	-0.236380937035055
IL2RA	1.76897467623753	3.17551490269603	-0.0714964666180474	0.164374914480491	-0.230973837582032	-0.665687406583933
IL2RB	1.81693842435708	3.35786752191726	0.242590828559279	0.265911783163003	0.0428889127842752	-0.992421567492179
IRF4	4.13619802584179	3.64343893443383	1.27325314510008	0.263063192407954	1.37849313285337	-0.0474078580119488
JUN	-0.435930931349116	-0.4137795211417	-0.14376084007208	0.0177453083683994	-0.0990512843339969	2.88952142402071
JUNB	0.231392084853926	0.0802640311536723	-0.115481733384905	1.06514432703339	-0.346529527503075	0.410046189161658
JUND	-0.414309819580447	-0.105920219997258	0.10438097038749	0.166817879841594	0.202942194379262	-0.150209979923943
KDM6B	-3.3873155724404	-1.93448164009481	0	0	0	1.17930867374993
KRAS	-0.706471579655379	-0.530402617056785	-0.623364749414666	-0.19163188863299	-0.327300821868316	0.137913578580015
LCK	-0.147947532553746	0.0623173183774822	-0.950478537470077	0.222090989363342	-1.09799792178358	-0.0417633911926759
LEF1	0	0	-2.23148677501251	-0.9712886259692	-1.15834531603766	0
MAPK1	0.126432066481916	-0.00901627285293996	-0.648487597380711	-0.0131926115707312	-0.501867631591741	0.195082325293358
MAPK3	0.239614777285743	0.682526193641482	0.173536807890452	0.0938079084318602	0.0820992755875458	-0.372417293692883
MAPK8	-1.38351966213177	-1.63790450639819	-1.34197828956384	-0.645165820638869	-0.623209283776922	0.935694422558566
MT1	6.35230895631326	7.02165247342504	0.796946152959479	0.358646902989898	0.506616966980853	-1.43979404409745
MT2	6.21349012231828	7.42095470498135	0.194339560332847	0.219636008456895	0.000929710163069359	-1.18326537987785
MTOR	-1.05057009746626	-0.244909374578784	0.223010301374295	0.111570943394954	0.138914193686553	-0.128848479790328
MYC	-0.760370201508092	-1.0770847533173	-0.891041717636737	-0.453210962359939	-0.00446093741541684	0.325578519822371
NFATC1	0.245418954040117	1.90027425107286	1.73625394514811	0.390313461094425	1.50288526941246	-0.101892996646777
NFATC2	-0.730281390280258	-0.0321133887346117	0.0684975357724252	0.0458905630146744	0.0738383044625138	0.112324187839029
NFKB1	-0.535935201029386	-0.46225513365519	-0.452119414963219	-0.21414045485492	-0.202397216272053	0.465068891721906
NFKB2	0.134779145205956	-0.101545359910948	0.229153748237056	0.0569170852556667	0.223397512495627	0.630438937370082
NR4A1	1.54124086342828	0.391219895155696	-0.0455215485434598	0.194986196918939	-0.147044706592508	0.973123880646926
NR4A2	7.28815221751912	7.38585731760639	2.11597583154928	0.322386791666673	1.84057085880735	0.0946822840171538
NR4A3	1.06676151135686	0.821221373946608	0	0	0	0.819463574977091
NRAS	-0.859936103903069	-0.402106537662287	-0.650861489864799	-0.66497350132954	0.267921826436527	-0.213096940962696
PDCD1	8.76260933401786	8.50438916074501	2.76409089227472	0.188860864933351	2.60189812411875	-0.453205726291711
PPARGC1A	-0.671828845118181	-1.04826820895564	-0.13833119002183	-0.0878406108460385	-0.0463299023878826	2.50169939534042
PRDM1	2.04118017442288	4.90797403094372	1.89469052386132	1.37575847734481	1.16672629567358	-2.93060358396145
PRKCQ	-1.14085063622097	-1.05684005700232	-0.34178477121538	0.00300276262026021	-0.317404520398867	0.442501584318484
REL	0.0424167777502692	-0.228471441333965	0.079185574914034	0.0528055563893492	0.0297166357361154	1.10305503420985
RELA	-0.616047359769225	-0.0886273969883425	-0.457463817590533	0.0659793910672897	-0.475079504737917	0.049883065705706
RELB	-0.154728241356401	-0.249137424769359	0.267248721245269	-0.0395070550154879	0.344947970081023	0.981746218014316
RUNX3	-1.21910717224024	0.669222572777596	0	0	0	-0.305938646265115
SLC39A14	0.350235632707475	-0.0867866063130922	0	0	0	0.473285230434664
SLC39A8	-0.498495517177974	-1.33706959543473	-0.0652115985787481	0.0163686675930456	-0.0774672264612492	1.39424217905769
STAT1	0.151057077687358	-0.470064123459889	-0.135955714170074	-0.310724033949245	0.229335695906838	0.513495874646608
STAT2	-0.465436980249491	-0.508647835011271	0	0	0	0.573975422410359
STAT3	-0.332455615550691	0.368548528826217	-0.00426143432243066	0.0205411373329498	-0.008838881283514	-0.0912777178120668
STAT4	0.047244768149948	0.160284922189577	0.0414407732681504	0.693231022993662	-0.579317682221559	0.279197355962111
TBX21	0	0	0	0	0	0
TCF3	-0.533552524704331	-0.359941501980289	0.194484318949332	0.0421922078358928	0.157357918848812	0.210900209146888
TCF7	-1.44064879015965	-4.96913079401978	-1.94465580427623	-0.766323136166479	-0.359614324941554	5.66654058005314
TET1	-5.3163033588734	-4.71716543869532	0.126558964488566	0.208202884743986	-0.0710111822718648	1.03505247471461
TET2	-3.18636834459924	-0.439151210586992	0	0	0	-0.137101413106122
TET3	-2.88964564148267	-1.14058677682293	0	0	0	0.283255466683354
TIGIT	0	0	0	0	0	0
TNF	0.317701249917278	-0.740523968212894	0.132091563169081	0.064621203014399	0.0818377679111972	1.55561661723315
TNFRSF1A	-0.244256403775855	0.592465713054095	0.486187192771952	0.216069512616735	0.288396453406831	-0.216561890256733
TNFRSF1B	1.46967276080123	2.36784798594244	1.84215936569985	0.975249053812876	0.965940715158154	-0.603145678947967
TNFRSF9	0	0	2.44287204951433	0.0197336272991313	2.45297428881371	0
ZAP70	0	0	0.458793556098056	0.14300383468054	0.366028475747815	0
ZEB1	-2.25335680739585	-1.3629069385832	-0.414533903330113	-0.435617022528152	0.134168298204433	0.585064749507411
ZEB2	2.94228287647357	2.98000070435	0	0	0	0.0850866856072895
ZN	0	0	0	0	0	0
SLC2A1	0.0591536095895165	0.372946048375966	-0.0766737102199345	0.352999413379607	-0.405996870559596	-0.0541474921653657
SLC2A2	0	0	0.069444535665028	0.0166601410301063	0.0585350213689865	0
SLC2A3	-0.0527669960836077	0.76138170581389	0.0877146237128994	0.384969249250068	-0.263389781552762	-0.855718062649264
SLC2A4	0	0	0.201489063165796	0.079785822231799	0.130295938537425	0
SLC2A5	0	0	0	0	0	0
EOMES	2.01320901940677	2.17821005725377	2.32015975301702	1.0117507042187	1.41113990327788	1.11016165513181
GZMB	6.94113414587635	9.6322766432646	3.93612947772267	3.910482118751	0.976128151236423	-3.42660122283498
PIK3CA	-0.897167181316938	-0.0569245724221171	-0.512624654240808	-0.102581200706984	-0.300684137096184	0.191827960100815
PIK3CB	-0.746817124155079	-0.713149832799778	0	0	0	0.14456563093021
PIK3CG	-0.164160505488136	1.00479259897339	0	0	0	-0.789374551874498
LAG3	11.0056281664094	10.1543292513164	1.73880149358282	0.272802252870754	1.52560557341969	-0.170650281710901
MAF	2.57703469683119	6.25824669167586	0.50599505405227	0.249836883509978	0.349821007073371	-1.26468879722781
HAVCR2	5.90690096203414	8.3824418317027	0	0	0	-3.18360103194367
CXCR5	4.90073543562912	-0.715451044378818	0.685679120285417	-0.0975361607195602	0.803076100594048	5.76538814417811
GZMA	3.03607606874235	7.84150365326602	3.50252063736231	3.23514226945894	2.20265517278277	-3.3447462171759
KLRG1	4.69398004143441	5.27208814497917	1.41429428123446	4.36261866261564	-1.93499978160015	-1.40772116486438
PRF1	0.644004124056074	2.4117190080237	0.968273789730365	1.26231025561218	-0.217945376006222	-1.66771487429019
glycolysis	0	0	0	0	0	0
RICTOR	-2.89166369107368	-1.44327158854297	0	0	0	0.291978256692015
RPTOR	-1.48536268715978	-0.609226426418635	0	0	0	0.147963896176719
proliferation	0	0	0	0	0	0
Adhesion	0	0	0	0	0	0
