Source	avExp.aPDL1.v.TIL	avExp.PDL1plusPDL1minus	avExp.Tim3PlusTim3Minus	avExp.TILN2CMV	avExp.TILN2naive	avExp.TILN2EBV	avExp.TILN2tumorPBMC	avExp.acuteD5.2N.89307	avExp.acuteD7.2N.89307	avExp.T.D5.2N.89307	avExp.T.D7.2N.89307	avExp.T.D14.2N.89307	avExp.T.D21.2N.89307
CD8A	0.0337939674309012	-0.00918086779298045	0.00898397002794807	-0.00650059208570862	0.134972569572342	-0.0950668253939137	-0.24045171220156	-0.0819004063241151	-0.0851413118305559	-0.081116531538545	-0.143466526746664	-0.00420035742741646	0.0845641334998592
CTLA4	0.115357490430148	-0.0218244905609868	0.158633814145569	0.880119788853613	0.996021933749838	1.04464763524168	0.770283805906145	0.28821064156568	0.200841263827396	0.711218307793076	0.743285144801909	0.339597359966981	0.263331228036302
DNMT3A	-0.245697913642022	0.390420742160542	0.393522311501027	0.08644961934469	0.0687497119316141	0.0730154546388476	0.608898466682203	0.0456928265146306	-0.0178810629456316	-0.0457905224849544	-0.0323034204258175	-0.0286022427084323	-0.0478981074825015
DNMT3B	-0.378237028368853	-0.199144655025481	-0.03884428765035	0.053423231832548	0.0151924923642625	0.0376047790213787	0.0298340025607611	0.0186721888441878	-0.00580916406044495	0.176672902915071	0.188463393250902	0.227593882496893	0.17120692846144
DNMT3L	0	-0.219757771252747	-0.457821088322948	-0.0376556827144987	0.0139458899168898	-0.0105443145966423	-0.0178818603298944	0	0	0.598810416144897	0	0.539256284249159	0
EGR1	0.0365758763174708	-0.107721479717702	0.129260885669632	0.149289795244657	-0.254731191684231	-0.140839714141108	-0.184691422798329	-0.166754131087422	-0.206818875453894	0.00214400159676086	0.0764867872472617	-0.112607307824196	-0.0173673972205439
EGR2	0.0505264599450165	0.0208465844917364	0.999768779466169	0.00573183423039495	0.0905623834128266	0.12467070154003	0.0722811632203873	-0.266375111436185	-0.274197384888584	0.169699280567192	0.234112094100339	-0.0318760399193271	-0.0520559542834063
EGR3	0.00856079432952586	-0.137868808880196	0.488821915078285	0	0	0	0	-0.310361929564545	-0.315825454393411	0.209209139772398	0.235692763956143	-0.0881181352075983	-0.119259480775153
Exhaustion	0	0	0	0	0	0	0	0	0	0	0	0	0
EZH2	-0.223535584737795	0.0832000102789972	0.445089773090813	-0.0180916644788252	0.108026749022334	-0.0180511728073684	-0.0904412984723227	0.207131726152194	0.155726728738915	0.353931023943663	0.329379613873907	0.207390965255237	0.0472832258038508
FOS	-0.332793558385148	-0.508371507786543	0.123781721277447	0.0863972323824748	-0.181556084625531	-0.167338019544495	-0.0285358825606572	-0.264718577250586	-0.331183984317408	0.299436464072305	0.436510329574624	0.134563237295916	0.152223186990534
FOXO1	0.170227465220197	0.0962180119517561	0.0611432759174255	0.0715056630694629	-0.247057072067603	-0.0699046667361472	-0.180353389335442	-0.143505639403102	-0.112603388477478	-0.315323729322908	-0.322848330565624	-0.27558312090386	-0.23841696385418
GATA3	0.100892681402339	-0.0517656725570424	0.162930781971444	0	0	0	0	0.0599461979313236	0.101022503618542	0.0275402147429405	0.0485433510242811	-0.0130370546983578	0.0253143952985391
HIF1A	0.114591788144715	0.0957228917558117	-0.00532809469487907	0.283147143148284	0.0275216397942795	0.0545197301070744	0.00467205453597473	-0.0201046510989485	-0.0241768041306165	0.266487105258971	0.195996828483498	0.050172241698409	-0.0155042501865868
HRAS	0	-0.0103307196078919	-0.0911646695280506	0.0272319681736807	0.0845856080902743	0.0103076066493844	0.0725592262737009	0.062936646058548	0.0579659841678728	0.115290778646865	0.0352680957252672	0.0461758865122512	0.1270628416235
ICOS	0.142241352576426	0.0321956705684867	-0.00351184531630257	0.434296177137508	0.2764800696175	0.307904404579734	0.464551024219984	0.137755249311976	0.157097481179892	0.221679205263535	0.200037855674704	-0.057114795794151	-0.0178936605120731
ID2	0.387788440533235	-0.225246414932151	0	0.100783917509436	0.120781209340895	0.0249275662774541	-0.0220618085840784	0.496143295573423	0.515237262370438	0.128997998484623	0.100841587455304	0.327425216038752	0.427288934188143
ID3	-0.996067917688686	-0.191312910920619	0.112224552286427	-0.00650621412289587	0.102129837635668	0.029542237999846	-0.0583107491133157	-0.177235353243729	-0.179662249649772	0.162900242812678	0.121515495640822	-0.152656339811811	-0.234873246474314
IFNAR1	0.275393884275582	0.0837012209749266	0.0965027947006286	0.0666115398106121	-0.26106771400712	-0.0062538339813521	-0.182894428676352	0.001085734013428	-0.00707320675922451	-0.138669071571099	-0.0966621762227805	-0.0953198074372239	-0.10041443353339
IFNAR2	-0.0206236399653602	0.0246705863495145	0.403269560886204	-0.0708678044728355	-0.00779593533338004	0.0408918728126225	-0.0414180525759136	0.090091646963526	0.0772254654759416	0.0392639128413918	0.0687311486662111	0.0791098534845017	0.0258286898990499
IFNG	0.0372225662579945	0.0204660713708698	0.139996278460334	0.562480886458185	0.923289865270886	0.215134609275576	0.485696547290223	0.778413804231647	0.843593057420306	1.48673468296102	1.40732615179683	0.984133062563073	0.955429474785851
IFNGR1	0.284530929294416	0.145530850900721	-0.155975316859269	0.0325915048149089	-0.0176481277524266	-0.441345483922204	0.0821095384438287	0.147298444189559	0.175575322934528	0.0738418393260333	0.106393997480613	0.112877348394731	0.179073826286735
IFNGR2	-0.507594839122057	0.434289805526088	0.271429563937771	0	0	0	0	-0.513500821011044	-0.544641504833206	-0.473593669243179	-0.360240362051032	-0.280193827711912	-0.243466222837412
IL12RB1	0.0109111710726304	0.0816639913437375	-0.0844834302571105	-0.0503856839731408	0.0197345428948921	0.0731444016786332	0.0235592922359118	0.279872644745455	0.231791508990811	0.345364553559402	0.305381632744743	0.363945854507469	0.319386672100998
IL12RB2	0.766361273669074	-0.0711003628306784	-0.00165268550653614	0.0106557428212308	0.0236501821881869	-0.034713097903609	-0.0508130376119698	0.210129522807893	0.107840257236325	-0.242447170867426	-0.308010004440543	0.176346053493295	0.140898751629788
IL2	-0.683047939183443	-0.188253236497593	0.144083758259472	-0.169079589080077	0.0846504289743827	-0.0311770287590457	-0.136078722413526	0.271059098290127	0.47993143353413	0.390200754148995	0.375415201417062	0.2185391650453	0.267770628333207
IL21R	0.202997109803953	-0.031266134283646	-0.136491835066096	0.156069283420491	0.270616880799153	0.089690303481664	0.313566370810475	-0.0594915753748696	-0.0446868108699511	-0.0944964632688799	-0.118882390028686	-0.0777671924626391	-0.0618471038023714
IL2RA	-0.000340247794119983	0.0801006784518526	0.54056016555297	0.00156679655187456	0.0663371443571217	0.0718134435792472	0.104450591952276	0.374990246473728	0.296593076051078	0.667774295966305	0.508273715472047	0.216456776177702	0.205903503468601
IL2RB	0.278653629563169	-0.118027832909268	0.0661719275671175	0.750407073662475	0.436219114675039	0.137352158550713	0.398215594211754	0.268564773902422	0.259800896198283	0.278984757922052	0.300148921994629	0.388735063057857	0.397213409095024
IRF4	-0.0828463134824139	-0.138408488040023	-0.0664005259711678	0.102083498723014	0.339899302001885	-0.0781750222794715	0.106259105160291	0.386624188006363	0.347187070208192	0.956621570601984	0.97439530500028	0.414898278517179	0.326286973831067
JUN	-0.16237684893842	-0.286527128476938	-0.222722481148235	0.0905904013495383	0.0557814768239659	-0.0152956721492452	0.138181310475897	-0.208482574506371	-0.25382721277422	0.236933946958513	0.235075148169806	0.102868251800484	0.147143996564787
JUNB	-0.0423981767386433	0.0720701248829723	-0.0666384766232386	0.0526554135789056	0.00842858739782549	-0.0473899713308335	0.011447204932655	-0.0217728744130256	-0.0268045189005472	0.0856201825427645	0.0869279066819634	0.0225539629933579	0.0133673797484687
JUND	0.0945326910860405	-0.0918622866950047	0.0071076196904321	0.00918183657810284	-0.024761961763451	-0.0251602937023519	-0.0220571649113835	-0.0266275335310952	-0.0667592148773855	0.0142929467585436	-0.0257186786249796	-0.0358433835175599	0.0472962763482936
KDM6B	-0.399021599061781	0	-0.0674473877044918	0	0	0	0	-0.227079169112551	-0.236485306039381	-0.298384924277346	-0.278635289343721	-0.330706001636209	-0.288326293630561
KRAS	-0.0966699044921624	-0.855904425864995	0.188478820358074	0.0532645837625818	0.0402018365015652	0.0617849228463926	-0.0311694930478229	-0.0618966375578312	-0.0600263495267687	-0.110048849250724	-0.134047385461548	-0.080119706579053	-0.0641372760312922
LCK	0.0722566451785864	0.0113230878725505	-0.346568611146601	0.032377870286175	-0.0195796537031852	0.0922836641185486	0.143609209673539	0.0538533601468618	0.0253976450563601	-0.0808852124207347	-0.0956960918032393	-0.0904993645007088	-0.00304728939092561
LEF1	-0.187736887935387	0.0475252644541183	-0.0876774140633511	-0.0270844119059927	-0.842902949684644	0.00813725431411323	-0.0537328027342054	-0.203890803577511	-0.208050256673433	-0.424653437291781	-0.398818717434504	-0.560411836138896	-0.758678423146513
MAPK1	0.0360351609404242	0.0404651443934323	-0.0260904117870064	-0.507194199619231	-0.0638206091141277	-0.329669509041494	-0.454570251336022	0.022579343077894	0.031365121221384	0.0611316259707059	0.0330645837982484	0.0468319796872729	0.0469316232305513
MAPK3	-0.00277472024329244	0.0603089252788016	-0.316127234333865	-0.0342078723572473	0.139136902911868	0.100758606059106	0.282949443919855	0.058765234354817	0.0104401876257048	0.134811522950985	0.0883272230265828	0.164223721198153	0.226367072190155
MAPK8	0.305696297629982	0.0646280877713357	0.00871687283019846	0.00595443762430382	-0.172874669107435	-0.132560820504188	-0.333946480838207	-0.102596329396085	-0.0645285181443199	-0.117279619059238	-0.0963309654495044	-0.219615111655576	-0.208164064883005
MT1	0.489550955310554	0.0128296429716265	0	0	0	0	0	0.572168049807828	0.521842034095492	0.442930054034869	0.391384200304835	0.567995917692926	0.503160204707295
MT2	0.521836470014362	0.043330112037385	0	0	0	0	0	0.910594963269971	0.652985399090005	0.700634345658544	0.80789340097977	0.862678525164939	0.435267174351832
MTOR	-0.0174551017951744	-0.166256472729571	0.0771179500258449	-0.0547343661767682	-0.161424460607295	-0.11016870026175	-0.361303924853263	-0.0877443175479124	-0.121403322066965	-0.0890601827206713	-0.0895422203709813	-0.0644555508419612	-0.0608216978938335
MYC	-0.372806380259422	-0.0201836356784477	0.0176087659573608	0.0849879036399161	-0.510275127329669	0.0280705765998988	-0.0486934810657265	-0.0794915182381173	-0.0537483966655947	0.150808641685562	0.175252113883785	0.0405680086315254	-0.0543685691622734
NFATC1	0.0170688589784823	0.0801832390771898	0.0116149682325818	0.309762089767329	0.280414103932831	0.165418811071679	0.66006969869948	-0.0150101136072638	-0.0359357098299821	-0.0998094966469983	-0.0792361972103768	-0.0715416889879666	-0.0270015753493142
NFATC2	-0.19013003707963	-0.362987596173052	-0.015862216964029	0	0	0	0	0.0781067674068225	0.109037732207354	-0.0125322103026603	-0.0353486880252299	-0.0403833100121776	0.0229210009189963
NFKB1	-0.406451166522418	0.009163358988585	0.0042229645875951	0.617745045356225	-0.172761513542079	0.125246655103023	0.286851515527742	0.0261715629856399	0.0512343747317413	0.188004396599202	0.176373680393583	0.0526160348871884	0.0985796241323327
NFKB2	-0.0613518726418959	0.0376602654240258	0.126141086770697	0	0	0	0	-0.0406503432832468	-0.0270669529883376	0.00237482969097598	0.068474680429891	0.0496007974127525	0.0299489367248369
NR4A1	-0.317106370456757	-0.137515055807597	0.23125340470362	0.288984668413599	0.232732624909461	0.23398179582674	0.590161868958131	-0.0602969570042392	-0.200490621367717	0.4081107857807	0.495810841147256	0.145908455862322	0.0764843106486426
NR4A2	0.0988326286435701	-0.0937271802867083	0.541438788697563	0.309840167951216	0.0449255738260589	-0.117399068343333	0.211076411515402	-0.127879003567233	0.00470223040931082	1.00970451295127	1.08362111519119	0.926483392509837	0.81960888848875
NR4A3	-0.212933655633756	0.158772116071687	0.208264512070414	0.484956769669666	-0.0584088103480833	-0.447471508012354	0.013997997099723	0.0125434974493207	0.142847094748668	0.712497498197787	0.684455233057254	0.315799701549623	0.26894429405863
NRAS	0.0337045035295238	0.103944966534702	-0.00695140599573816	0	0	0	0	-0.040547295512004	-0.0511920478146243	-0.124964153815279	-0.132533956297332	-0.103777618495552	-0.0742401450799334
PDCD1	0.292599894717528	0.0775554908532037	-0.168671574432933	-0.0040011752302675	0.124715958270141	0.109647534302961	0.0556564828587985	0.367380171010166	0.362385177475356	1.11375698831039	1.19968426900113	0.98316029356569	0.955128359602852
PPARGC1A	-0.155742536825354	0.128613343791514	-0.231720257516797	0.0263644379331913	0.0496485533439271	0.0517784403038477	0.11095676269245	0.122321714796532	-0.102888561967873	-0.142683114614975	0	0	0.315558962055685
PRDM1	0.46197948235422	-0.212434688437705	0.445979386434076	0	0	0	0	0.366976455438961	0.326684837153405	0.0907723780285665	-0.0318935398983137	0.576238444125189	0.593786170753882
PRKCQ	0.0496430689782166	0.0592081861459454	0.0886364588395157	-0.039268445905584	-0.0563312861774197	0.0255811496796723	-0.0994177853058647	0.0128514274026562	-0.0323287745130185	-0.0732832390497691	-0.0604283768336833	-0.163234946674743	-0.184545509627101
REL	0.263043131551757	-0.204782502422454	0.0827201121882906	0.0684769299502501	0.102585790849109	-0.261033675904551	0.225534313933997	-0.0205295085888594	-0.0461855488050258	0.185048158685697	0.217415544616226	0.0621732828741382	0.0598992976645125
RELA	0.0308022183627923	-0.0829246480485263	-0.0373634354237983	-0.135143029806397	-0.24447946938813	-0.460104282933587	-0.397688798143205	-0.00324432278332214	0.000491361781145615	-0.0952606115201915	-0.112279392989608	-0.0932255391281934	-0.0392975231964669
RELB	-0.111178969149511	0.0838654544456656	-0.269097399820299	0.027984515104829	0.0636333620037925	0.069800977756263	0.122981068029003	-0.115355137608722	-0.0878768348911498	-0.0821858812816541	-0.0218058591630911	0.0528343553796569	0.0249229070033604
RUNX3	0.228125072739972	-0.307195985559073	0.215632239122459	-0.0859437242316802	-0.0100045740377772	-0.190486371474912	-0.259188508007788	0.0107105705255374	0.0286169917253865	-0.138114569211536	-0.134499697778033	0.00453062758240531	0.0943372408693654
SLC39A14	0.0376487874535038	-0.210547384918388	0.603545929915676	0.360416441520846	0.17873859727865	0.474913811445302	0.603704655434368	-0.140074638929249	-0.0664040215486886	0.0174984049932129	0.0231053212545376	-0.0860058251687445	-0.0196789270486663
SLC39A8	0.131950273544879	-0.178979122201435	0.288074633077147	-0.03864799686033	-0.0369835309989709	-0.0223054745319826	-0.123785578114841	-0.0346635981957604	-0.00374645049406225	0.220343991998317	0.168286984117448	-0.0581155785302688	-0.110409219793628
STAT1	0.0275695685916985	0.113809170501502	-0.0510548139553331	0.0929182412840086	0.212273610351839	0.201260712079882	0.464207693769132	-0.0465679651805109	-0.0555642950043581	-0.0397349409316601	-0.0667043989815633	0.00947477006801496	-0.104811673171854
STAT2	0.228199337264395	0.320541468470038	0.0240284532282858	0.431211892340508	0.197539612692561	0.316743067948601	0.405268184157	-0.0150628164719991	-0.0755469346741983	-0.133095861511461	-0.105345094272228	0.05720514236779	-0.0549270205193868
STAT3	0.176955431165477	-0.374362788929637	0.109682310987463	0.137962367601106	0.156596293037536	0.24115941724616	0.724124821755579	0.0210007505122847	0.00291143833168749	0.0561422624731678	0.0784282315500273	0.105315404064756	0.0672593826784899
STAT4	-0.0422489328866667	-0.00987831683494277	-0.323309417527507	-0.265440013360897	-0.399007811820435	-0.537273282458042	-0.610958699393681	0.120918662236869	0.130639953812919	0.0647263928898133	0.0481701283499631	0.090119600738287	0.0513803975810666
TBX21	0.0253601712864356	0.0167140038492453	-0.00332950615396513	-0.0813548647639117	0.163043617243851	-0.0459391684344214	-0.0339068053966212	0.906939889474354	0.872977275929117	1.0730379481865	1.01787974911778	0.878004169796189	0.844752849317243
TCF3	-0.109230384137638	0.520923030933456	0.160732788448895	0.0654256317141328	-0.0405016065904875	0.0861332934170638	0.0350199121657632	0.0600591432561669	0.059547201668051	-0.00760887714182596	0.000232819106066763	-0.066913064969056	-0.0688941200553518
TCF7	-0.692001417434586	0.0113920262225816	-0.30672460411785	0.0814256871095571	-0.183048625256468	-0.100001808388836	0.255208748299248	-0.111967371667711	-0.109695326739755	-0.227291917394051	-0.193955796156123	-0.380276939944356	-0.583895838030861
TET1	-0.535477735920833	-1.05198159589916	0.298000513889114	0	0	0	0	-0.200177598597792	-0.222945982400061	-0.513265317038978	-0.482420529384923	-0.480639014003903	-0.521797252506917
TET2	-0.0627484066001953	0	0.305296042332036	0.214484415595357	0.0345034407569432	0.238958859817395	0.000727011370439083	-0.0685754721088737	-0.0428400599352114	-0.0804232564054361	-0.0910098487983915	-0.0502390527159306	-0.0618436261005472
TET3	-0.0970914761701805	0	-0.305315379172322	-0.00953996670680179	-0.038705268185129	0.0144295670737742	-0.0294788091475095	-0.125294948641317	-0.103859785058542	-0.193691126917896	-0.186866627102903	-0.199981699387717	-0.203539704290751
TIGIT	0.234299042660455	0	0.174829359370903	0.0783657077227653	0.573125529794404	0.16596081033997	0.415587845270278	0.65694163043548	0.455913208222477	1.16260381869904	1.20686109190887	1.1839386720341	1.20671048661819
TNF	-0.0508166890205133	-0.00938983084356043	0.0559894690762882	-0.0208030722387631	0.0756820705129658	-0.000263068468984928	0.0844639000087041	0.00698959534330652	-0.0342442986469907	0.207339525995697	0.232505930690515	-0.0252827486123485	-0.0576344872130095
TNFRSF1A	0.239496888763139	0.0144036242664966	0.0675652342245992	-0.0127349921940279	-0.166903591150393	-0.230263982949022	-0.138013166307138	-0.00188491009227004	-0.0235434581316337	-0.143069525706145	-0.113545311806794	0.0983935548492472	0.123394552730286
TNFRSF1B	0.406232452037591	0.0202425880428862	0.249014024468207	0.200777380569499	0.987461760971954	0.0362619118464337	-0.00833138172001128	0.119337052265944	0.0907269418139741	0.307305713708355	0.32904325030935	0.343105306139815	0.321057869994714
TNFRSF9	0.197007038533779	0.0388923144006989	-0.0756435257402866	0.427083797754331	0.641941103740795	0.486931763035709	0.785561983327001	0.131594203217988	-0.0325735789417316	0.899310812247601	0.956767476782404	0.80604274995468	0.778647962816491
ZAP70	-0.00144144440942754	-0.255277927312708	-0.152554249675821	-0.0805223897025685	0.142224714938256	0.230552868439673	0.202012045433239	0.0508952642639485	0.0203089369325864	0.166980164232183	0.1543134662073	0.102825571754616	0.121686013398867
ZEB1	0.0760373081569739	-0.113516102211516	0.0698184756658442	0.112139450363092	-0.0919184297217032	0.0226164086413618	0.228620583506211	-0.16849781946463	-0.128560832271644	-0.289990053185222	-0.279321229561919	-0.246550524196407	-0.227358824969718
ZEB2	0.208257706693264	0.12445706614613	-0.630982293824229	0.00242566093465049	0.271219222613096	-0.647562717132435	-0.291035017970804	0.677459087648968	0.7238294022364	0.643236899788747	0.743852348036159	0.69842291619557	0.573697534548539
ZN	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A1	0.156560594956403	0.0998591721377276	0.389018033295004	0.193609684599269	0.0988385855906208	-0.121307358933649	-0.0634111001408918	0.0549048106817584	0.0634329149934236	0.0226217684414976	-0.00360755799244134	-0.0830341258360159	-0.0410054948674429
SLC2A2	0	-0.360202019794566	0.0549009355337678	0.00266775103701273	0.0265386021529093	-0.0142202820749012	0.0627004826201329	0	0	0.693764028885246	0	0	0.215204331800098
SLC2A3	0.807869733081598	-0.00729290817914323	0.0500466824723212	0.170283384492016	-0.20629219536564	-0.0842611253730594	-0.18497100912624	0.115544722129981	0.0814834984646097	-0.170206804390772	-0.148759797064936	-0.0461627851409589	0.00959879270660949
SLC2A4	0	-1.38201422683733	0.0323950552334816	0.0036523791046055	0.0217512905904614	-0.0626397021856053	0.0190907464435092	0.852459924657212	0.729744557446438	0	0	0	0
SLC2A5	0	-0.612940206008529	0.0356311470285176	0.0307549941461409	0.156353390469895	0.206057285563968	0.22813392760384	0	0	0	0	0	0
EOMES	-0.383803575012735	0.173485291004297	-0.137421759096814	0.0617822746718456	0.0601908953971007	0.016154029123207	0.14041933063328	0.516225491585941	0.537212776319059	0.524690049406094	0.596248001009511	0.293680193254994	0.351842068465253
GZMB	0.371212371605211	-0.0205386248942972	0.365315255046895	0.112970175003998	0.665845911564317	0.6064184139532	-0.0634376628711058	0.956344455741183	0.837352604256134	1.34058402156062	1.28345651336606	1.4395881638611	1.24132157685349
PIK3CA	0.0596971626870736	0.0635495559557075	1.16482843343611	0.0177032342086838	-0.502208809089969	-0.62198801955964	-0.0718726888282904	-0.0473875594290647	-0.0230062492635833	-0.12974446929129	-0.176789370810766	-0.0684749215149505	-0.0475069018431346
PIK3CB	-0.165145068162557	0	-0.187826561325387	-0.0226797462619417	0.0209977634859996	-0.0145456203339106	-0.0205060434023385	-0.110793081221476	-0.00698265262645502	-0.0871950082061638	0.0121190169053225	0.0471376217817842	0.0836533788670565
PIK3CG	0.771854190215021	-0.20693120763607	-0.117458552815923	0.0710670185365463	0.0495422047828464	-0.197292945670208	-0.0183863959819513	0.0751441065870377	0.0369495006350376	0.0431348259528955	0.0670799072285184	0.111149571409081	0.118013742430233
LAG3	0.17966590934851	-0.0867982363480621	0.152719813434516	0.195319728373996	0.786589871444064	0.366327392083025	0.316826464959801	0.606609407857861	0.512130284465132	1.46912245759096	1.51757947061508	1.08430929964971	1.00237736320141
MAF	0.178822871300768	0.285284726116351	0.0727437715516307	-0.0592414431473764	0.0556190456759474	-0.0316479505326483	-0.0503775015082304	0.316067669188988	0.271805279637771	0.446066007899301	0.4874327644365	0.465323280417014	0.468843529251227
HAVCR2	0.543111435720612	0.193947223817487	1.21954199903715	1.03079429621166	1.15709705031536	1.11253732489823	0.472711084709302	0.581914073587661	0.438429772368783	0.737235184962979	0.787989780153667	0.810525288909581	0.746594795917966
CXCR5	-0.537693936592468	-0.400649595630727	-0.0398759941469763	0.0697747596743541	0.204609995930391	0.149349786261932	0.242696153721135	0.115474468732294	0.154763865939385	0.340005437071609	0.405961036050357	0.091774481509776	0.122792423290378
GZMA	1.00393208231131	-0.0635892431028909	0.160693942139155	-0.041834070469205	0.911680159229008	-0.0667356322348137	-0.236193734132488	0.862114337044497	0.697301643042214	0.433482567918933	0.459096798691211	1.07172499469446	1.0403061287448
KLRG1	-0.0259308375531307	0.193135645002248	-0.122238064076421	-0.969205703788339	0.0010025155282622	-0.887462675101771	-1.214438016673	1.48649917898896	1.45535849516679	0.8138268996916	0.926151612370748	0.744392274237398	0.739471105044013
PRF1	0.592090106786899	0.0183175744854529	0.131899280569301	-0.00823240785445899	0.642204045660203	0.236017786374911	-0.0744087625768551	0.123479421370757	0.134686226907472	0.131792010027602	0.0674440749449174	0.0201915726855145	0.137583092265199
glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0
RICTOR	-0.124984455707288	0.617985773162673	-0.195425200602012	-0.14173570595962	-0.165922981870908	-0.316608546991836	-0.20411282411068	-0.170665942183385	-0.151644986611877	-0.325060063902087	-0.368993570978826	-0.2206058108158	-0.158309355475479
RPTOR	0.0812332970059687	0	1.15142928343558	-0.0447083538138001	0.0743125578786536	0.0840635259442167	-0.13253650016115	0.129845112123968	0.170405337697434	-0.0346094392064754	0.0170410359412673	-0.0087188872787881	0.0177722819989461
proliferation	0	0	0	0	0	0	0	0	0	0	0	0	0
Adhesion	0	0	0	0	0	0	0	0	0	0	0	0	0
