Source	Target	Reference	edgeType	aPDL1TILScores	PDL1plusPDL1minusScores	Tim3Plus2Tim3MinusScores	TILN2CMVScores	TILN2naiveScores	TILN2EBVScores	TILN2tumorPBMCScores	acuteD5.2NScores	acuteD7.2NScores	T.D5.2NScores	T.D7.2NScores	T.D14.2NScores	T.D21.2NScores
BACH2	GATA3	Jhou et al, 2016, The Bach Family of Transcription Factors: A Comprehensive Review	inhibits	0.5	0.375	0.667	0	0	0	0	1	1	0.778	0.667	0.111	0.667
BACH2	ID3	Jhou et al, 2016, The Bach Family of Transcription Factors: A Comprehensive Review	inhibits	0.5	0.5	0.556	0.388	0.758	0.457	0.467	0	0	0.889	0.778	0	0
BACH2	JUN	Jhou et al, 2016, The Bach Family of Transcription Factors: A Comprehensive Review	inhibits	0.167	0.562	0.556	0.531	0.802	0.586	0.59	0	0	0.889	0.556	0.667	0.778
BACH2	JUNB	Roychoudhuri et al, 2016, BACH2 regulates CD8+ T cell differentiation by controlling access of AP-1 factors to enhancers. Jhou et al, 2016, The Bach Family of Transcription Factors: A Comprehensive Review	inhibits	0	0.688	0.778	0.449	0.615	0.586	0.4	0.444	0.444	0.778	0.889	0.556	0.667
BACH2	JUND	Roychoudhuri et al, 2016, BACH2 regulates CD8+ T cell differentiation by controlling access of AP-1 factors to enhancers. Jhou et al, 2016, The Bach Family of Transcription Factors: A Comprehensive Review	inhibits	0.167	0.875	0.444	0.714	0.253	0.514	0.686	0.333	0.333	0.667	0.667	0.333	0.778
BACH2	PRDM1	Ochiai et al, 2008, Regulation of the plasma cell transcription factor Blimp-1 gene by Bach2 and Bcl6. Jhou et al, 2016, The Bach Family of Transcription Factors: A Comprehensive Review	inhibits	0.5	0.812	0.556	0	0	0	0	1	1	0.889	0.444	1	1
BATF	BCL6	Ise et al, 2011, The transcription factor BATF controls the global regulators of classswitch recombination in both B cells and T cells	promotes	0.333	0.875	0.444	0.551	0.549	0.529	0.6	0.333	0.111	0.333	0.667	0.222	0.333
BATF	PRDM1	Xin et al, A Critical Role of IL-21-Induced BATF in Sustaining CD8-T-Cell-Mediated Chronic Viral Control	promotes	0.5	0.938	0.778	0	0	0	0	1	1	1	0.333	1	1
BATF	EOMES	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	promotes	0.5	0.625	0.667	0.51	0.44	0.571	0.562	1	1	1	1	1	1
BATF	IRF4	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	inhibits	0.833	0.688	0.222	0.531	0.418	0.6	0.562	0	0	0	0	0	0
BATF	NFATC2	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	promotes	0.333	0.5	0.778	0	0	0	0	1	1	0.333	0.222	0.111	0.889
BATF	NFKB1	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	promotes	0.333	0.562	0.889	0.327	0.484	0.529	0.552	0.778	1	1	1	1	1
BATF	RUNX3	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	promotes	0.5	0.562	1	0.633	0.385	0.5	0.467	0.667	1	0	0	0.556	1
BATF	TBX21	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	promotes	1	0.938	0.556	0.735	0.659	0.629	0.638	1	1	1	1	1	1
BCL6	GZMB	Yoshida et al, 2006, Bcl6 controls granzyme B expression in effector CD8A+ T cells 	inhibits	0.667	0.75	0.667	0.531	0.187	0.6	0.571	0.667	0.889	0.667	0.333	0.778	0.667
BCL6	ID2	Leong et al, 2016, CXCR5+ follicular cytotoxic T cells control viral infection in B cell follicles	inhibits	0.667	0.312	0	0.735	0.374	0.657	0.695	0.667	0.889	0.667	0.444	0.778	0.667
BCL6	LEF1	Leong et al, 2016, CXCR5+ follicular cytotoxic T cells control viral infection in B cell follicles	promotes	0.5	0.5	0.444	0.531	0.242	0.529	0.486	0.667	0.889	0.667	0.333	0.778	0.667
BCL6	PRDM1	Vasanwala et al,  Repression of AP-1 function: a mechanism for the regulation of Blimp-1 expression and B lymphocyte differentiation by the B cell lymphoma-6 protooncogene. Leong et al, 2016, CXCR5+ follicular cytotoxic T cells control viral infection in B cell follicles	inhibits	0.5	0.188	0.556	0	0	0	0	0.667	0.889	0.667	0.556	0.778	0.667
BCL6	TCF7	Leong et al, 2016, CXCR5+ follicular cytotoxic T cells control viral infection in B cell follicles	promotes	0.667	0.5	0.778	0.653	0.341	0.7	0.676	0.667	0.889	0.667	0.333	0.778	0.667
BTLA	AKT1	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.5	0	0.333	0.327	0.462	0.471	0.457	0.556	0.444	0	0	0.778	1
BTLA	AKT2	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.833	0	0.667	0.388	0.462	0.529	0.476	1	0.667	0.556	0.778	0.222	0.111
BTLA	AKT3	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	1	0	0.333	0.367	0.637	0.471	0.4	0.444	0.444	1	0.778	0.333	0.778
BTLA	NFKB1	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.333	0	0.333	0.367	0.604	0.543	0.314	0.333	0.444	0	0	0.778	1
BTLA	NFKB2	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.5	0	0.667	0	0	0	0	0.667	0.889	0.444	0.222	0.778	0.667
BTLA	PIK3CA	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.5	0	0.444	0.531	0.637	0.657	0.486	0.222	0.222	1	0.889	0.222	0.111
BTLA	PIK3CB	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.333	0	0.444	0.755	0.495	0.714	0.6	0.444	0.333	0.889	0.444	0.778	0.667
BTLA	PIK3CG	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	1	0	0.444	0.367	0.473	0.686	0.648	0.556	0.222	0.222	0	0.778	1
BTLA	PRKCQ	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.833	0	0.667	0.429	0.352	0.386	0.562	0.222	0.556	1	1	0.222	0
BTLA	REL	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	promotes	0.667	0	0.667	0.551	0.374	0.286	0.457	0.778	0.667	1	1	0.333	0.222
BTLA	RELA	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.667	0	0.222	0.735	0.648	0.771	0.686	0.778	0.889	1	1	0.222	0.222
BTLA	RELB	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.5	0	0.444	0.327	0.407	0.414	0.438	0.444	0.556	0.889	0.778	0.667	0.667
CA	NFATC1	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0	0	0	0	0	0	0	0	0	0	0	0	0
CA	NFATC2	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0	0	0	0	0	0	0	0	0	0	0	0	0
CD160	IFNG	Vigano et al, 2014, CD160-Associated CD8 T-Cell Functional Impairment Is Independent of PD-1 Expression	inhibits	0.667	0.5	0.556	0.612	0.308	0.671	0.429	0	0	0	0	0	0
CD160	IL2	Vigano et al, 2014, CD160-Associated CD8 T-Cell Functional Impairment Is Independent of PD-1 Expression	inhibits	0.5	0.812	0.556	0.306	0.418	0.543	0.638	0	0	0	0	0	0
CD244	CA	Maghazachi, 2005, Insights into Seven and Single Transmembrane-Spanning Domain Receptors and Their Signaling Pathways in Human Natural Killer Cells	promotes	0	0	0	0	0	0	0	0	0	0	0	0	0
CD244	MAPK1	Maghazachi, 2005, Insights into Seven and Single Transmembrane-Spanning Domain Receptors and Their Signaling Pathways in Human Natural Killer Cells	promotes	0.667	0.688	0.778	0.714	0.484	0.686	0.476	0.667	0.444	0.889	0.667	0.889	0.889
CD244	MAPK3	Maghazachi, 2005, Insights into Seven and Single Transmembrane-Spanning Domain Receptors and Their Signaling Pathways in Human Natural Killer Cells	promotes	0.667	0.688	0.778	0.531	0.451	0.471	0.571	0.778	0.778	1	1	1	1
CD244	NFATC1	Maghazachi, 2005, Insights into Seven and Single Transmembrane-Spanning Domain Receptors and Their Signaling Pathways in Human Natural Killer Cells	promotes	0.333	0.5	0.778	0.286	0.516	0.357	0.552	0.222	0.444	0	0	0	0.333
CD244	NFATC2	Maghazachi, 2005, Insights into Seven and Single Transmembrane-Spanning Domain Receptors and Their Signaling Pathways in Human Natural Killer Cells	promotes	0.167	0.5	0.889	0	0	0	0	1	0.667	0.333	0.222	0.111	0.889
CD244	NFKB1	Kwon et al, 2015, Stepwise phosphorylation of p65 promotes NF-kB activation and NK cell responses during target cell recognition	promotes	0.167	0.5	0.778	0.306	0.505	0.443	0.543	0.778	0.667	1	1	1	1
CD244	NFKB2	Kwon et al, 2015, Stepwise phosphorylation of p65 promotes NF-kB activation and NK cell responses during target cell recognition	promotes	0.333	0.5	0.667	0	0	0	0	0.222	0.667	0.556	0.778	1	0.667
CD244	REL	Kwon et al, 2015, Stepwise phosphorylation of p65 promotes NF-kB activation and NK cell responses during target cell recognition	promotes	0.333	0.688	0.778	0.388	0.615	0.686	0.552	0.222	0.111	1	1	0.889	0.778
CD244	RELA	Kwon et al, 2015, Stepwise phosphorylation of p65 promotes NF-kB activation and NK cell responses during target cell recognition	promotes	0.667	0.562	0.889	0.531	0.495	0.757	0.505	0.333	0.889	0	0	0	0.222
CD244	RELB	Kwon et al, 2015, Stepwise phosphorylation of p65 promotes NF-kB activation and NK cell responses during target cell recognition	promotes	0.5	0.562	0.889	0.49	0.604	0.414	0.638	0	0.333	0.111	0.222	0.889	0.667
CD247	AKT1	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.167	0.625	0.667	0.388	0.407	0.429	0.457	0.333	0.333	0	0	0	0
CD247	AKT2	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	1	0.938	0.556	0.531	0.495	0.557	0.495	0.778	0.667	0.556	0.778	1	0.889
CD247	AKT3	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.667	0.688	0.889	0.449	0.451	0.429	0.505	0.667	0.667	1	0.778	0.889	0.222
CD247	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0.438	0.111	0.408	0.44	0.357	0.39	0.111	0.444	0.667	0.667	0.667	0.778
CD247	FOS	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.333	0.688	0.556	0.673	0.571	0.743	0.533	0.667	0.778	0	0	0.222	0.222
CD247	JUN	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.333	0.938	0.556	0.429	0.385	0.529	0.305	0.667	0.778	0	0.111	0.333	0.222
CD247	JUNB	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.167	0.75	0.778	0.571	0.626	0.557	0.505	0.444	0.667	0.333	0.222	0.444	0.333
CD247	JUND	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.333	0.812	0.222	0.633	0.692	0.814	0.733	0.556	0.556	0.222	0.667	0.667	0.222
CD247	NFATC1	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0.167	0.562	0.667	0.51	0.429	0.486	0.314	0.444	0.667	1	1	1	0.667
CD247	NFATC2	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0	0.5	0.778	0	0	0	0	0.333	0.333	0.667	0.778	0.889	0.222
CD247	NFKB1	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0	0.562	0.889	0.388	0.429	0.443	0.4	0.111	0.333	0	0	0	0
CD247	NFKB2	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.167	0.562	0.556	0	0	0	0	0.778	0.556	0.444	0.222	0	0.333
CD247	REL	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.167	0.812	0.889	0.551	0.451	0.671	0.429	0.444	0.556	0	0	0.111	0.222
CD247	RELA	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.5	0.75	0.778	0.531	0.549	0.714	0.59	0.778	0.889	1	1	1	0.778
CD247	RELB	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.333	0.75	0.778	0.531	0.297	0.386	0.438	0.667	0.778	0.889	0.778	0.111	0.333
CD247	ZAP70	Muller and Rao, 2008, NFAT, immunity and cancer: a transcription factor comes of age	promotes	1	0.688	0.778	0.429	0.341	0.3	0.381	0.444	0.667	0	0	0	0
CD274	ZAP70	Xia et al, 2015, Signaling pathway and dysregulation of PD1 and its ligands in lymphoid malignancies	inhibits	0.833	0.812	0.222	0.49	0.374	0.529	0.505	0.889	0.556	0.444	0.333	0.222	0.111
CD28	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0.667	0.438	0.222	0.612	0.571	0.7	0.543	0.778	0.333	0.333	0.333	0.667	0.778
CD28	HRAS	Chen and Flies, 2013, Molecular mechanisms of T cell costimulation and coinhibition	promotes	0	0.625	0.111	0.633	0.352	0.629	0.505	0.556	0.778	1	0.778	0	0
CD28	KRAS	Chen and Flies, 2013, Molecular mechanisms of T cell costimulation and coinhibition	promotes	0.667	0.688	0.667	0.449	0.538	0.586	0.629	0.111	0.111	0	0	1	1
CD28	NFKB1	Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0.667	0.625	0.778	0.571	0.824	0.671	0.629	0.778	1	1	1	0	0
CD28	NRAS	Chen and Flies, 2013, Molecular mechanisms of T cell costimulation and coinhibition	promotes	0.667	0.688	0.889	0	0	0	0	0	0	0	0	1	0.667
CD28	PIK3CA	Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0.5	0.688	0.444	0.612	0.78	0.743	0.743	0.222	0.333	0	0.111	0.778	0.889
CD28	PIK3CB	Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0.5	0	0.889	0.388	0.451	0.486	0.495	0	0.444	0.111	0.667	0.222	0.333
CD28	PIK3CG	Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0.167	0.812	0.889	0.469	0.44	0.486	0.495	1	0.778	0.889	1	0	0
CD28	PRKCQ	Dustin, PKC-?: hitting the bull’s eye, 20011. Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0.5	0.625	0.667	0.551	0.451	0.514	0.486	0.667	0	0	0	1	1
CD28	RELA	Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0.5	0.75	0.889	0.408	0.67	0.5	0.552	0.333	0.556	0	0	1	0.778
CD3D	AKT1	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.333	0.75	0.333	0.592	0.791	0.743	0.695	0.778	0.889	0.667	0.222	0	0.111
CD3D	AKT2	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.833	0.875	0.667	0.735	0.615	0.543	0.524	0.778	0.222	0.778	1	1	1
CD3D	AKT3	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.833	0.75	0.889	0.449	0.385	0.429	0.495	0.222	0.222	0.333	0.556	0.889	0.333
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0.167	0.688	0.222	0.673	0.593	0.514	0.543	0.556	0.222	0.222	0.444	0.667	0.667
CD3D	FOS	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.5	0.75	0.667	0.551	0.341	0.257	0.514	0.222	0.111	0.667	0.222	0.222	0.333
CD3D	JUN	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.333	0.875	0.667	0.673	0.67	0.557	0.743	0.222	0.111	0.667	0.333	0.333	0.333
CD3D	JUNB	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.333	0.875	0.667	0.592	0.484	0.257	0.524	0.667	0.556	0.778	0.444	0.444	0.444
CD3D	JUND	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.5	1	0.444	0.673	0.352	0.271	0.59	0.556	0.444	0.444	0.889	0.667	0.333
CD3D	NFATC1	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0.333	0.875	0.556	0.51	0.769	0.714	0.752	0.444	0.222	0.333	0.778	1	0.778
CD3D	NFATC2	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0.167	0.75	0.889	0	0	0	0	0.778	0.889	0.444	1	0.889	0.333
CD3D	NFKB1	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.167	0.688	0.778	0.51	0.495	0.514	0.533	0.556	0.889	0.667	0.222	0	0.111
CD3D	NFKB2	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.333	0.625	0.444	0	0	0	0	0.444	0.444	0.889	0.444	0	0.444
CD3D	REL	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.333	1	0.778	0.49	0.495	0.386	0.552	0	0.111	0.667	0.222	0.111	0.111
CD3D	RELA	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.333	0.75	0.889	0.551	0.418	0.257	0.362	0.556	0.667	0.333	0.778	1	0.889
CD3D	RELB	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.333	0.75	0.667	0.612	0.637	0.614	0.581	0.222	0.111	0.444	0.778	0.111	0.444
CD3D	ZAP70	Muller and Rao, 2008, NFAT, immunity and cancer: a transcription factor comes of age	promotes	1	0.875	0.667	0.612	0.769	0.771	0.629	0.889	0.778	0.667	0.222	0	0.111
CD3E	AKT1	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.667	0.625	0.778	0.694	0.604	0.571	0.59	0.222	0.222	0.444	0.333	0	0.778
CD3E	AKT2	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.667	0.875	0.444	0.755	0.67	0.6	0.61	0.667	0.889	0.889	0.889	1	0.333
CD3E	AKT3	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	1	0.438	0.778	0.531	0.319	0.386	0.41	0.778	0.667	0.667	0.444	0.889	0.556
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0.5	0.438	0.222	0.633	0.549	0.486	0.514	0	0.444	0.333	0.333	0.667	0
CD3E	FOS	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.333	0.75	0.667	0.408	0.253	0.286	0.476	0.778	0.778	0.444	0.333	0.222	0.556
CD3E	JUN	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.5	0.625	0.444	0.612	0.692	0.5	0.667	0.778	0.778	0.444	0.222	0.333	0.556
