source	target	Reference	interaction	pos2NaiveScores	neg2NaiveScores	tex2NaiveScores	acute2NaiveScores	tex2AcuteScores	pos2NegScores
AKT2	SLC2A4	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0	0	0	0	0	0
AKT2	SLC2A5	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0	0	0	0	0	0
AKT3	BACH2	Roychoudhuri et al, 2016, BACH2 regulates CD8+ T cell differentiation by controlling access of AP-1 factors to enhancers. 	inhibits	0	0	0	0	0	0.421
AKT3	FOXO1	Calnan, The FoxO code, 2008.. Hedrick et al, FOXO transcription factors throughout T cell biology. Hedrick et al, FOXO transcription factors throughout T cell biology	inhibits	0	0	0	0	0	0.526
AKT3	MTOR	van der Widnt & Pearce, Metabolic switching and fuel choice during T-cell differentiation and memory development	promotes	1	0.769	0	0	0	0.211
AKT3	PPARGC1A	Schrping, 2016, The Tumor Microenvironment Represses T Cell Mitochondrial Biogenesis to Drive Intratumoral T Cell Metabolic Insufficiency and Dysfunction	inhibits	0.154	0.154	0	0	0	0.105
AKT3	SLC2A1	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.615	0.231	0	0	0	0.211
AKT3	SLC2A2	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0	0	0	0	0	0
AKT3	SLC2A3	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.923	0.077	0	0	0	0.421
AKT3	SLC2A4	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0	0	0	0	0	0
AKT3	SLC2A5	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0	0	0	0	0	0
BACH2	GATA3	Jhou et al, 2016, The Bach Family of Transcription Factors: A Comprehensive Review	inhibits	0	0.615	0	0	0	0.842
BACH2	ID3	Jhou et al, 2016, The Bach Family of Transcription Factors: A Comprehensive Review	inhibits	0.923	0	0	0	0	0.053
BACH2	JUN	Jhou et al, 2016, The Bach Family of Transcription Factors: A Comprehensive Review	inhibits	0.077	0.077	0	0	0	0.053
BACH2	JUNB	Roychoudhuri et al, 2016, BACH2 regulates CD8+ T cell differentiation by controlling access of AP-1 factors to enhancers. Jhou et al, 2016, The Bach Family of Transcription Factors: A Comprehensive Review	inhibits	0.538	0.615	0	0	0	0
BACH2	JUND	Roychoudhuri et al, 2016, BACH2 regulates CD8+ T cell differentiation by controlling access of AP-1 factors to enhancers. Jhou et al, 2016, The Bach Family of Transcription Factors: A Comprehensive Review	inhibits	0.077	0.308	0	0	0	0.684
BACH2	PRDM1	Ochiai et al, 2008, Regulation of the plasma cell transcription factor Blimp-1 gene by Bach2 and Bcl6. Jhou et al, 2016, The Bach Family of Transcription Factors: A Comprehensive Review	inhibits	1	1	0	0	0	0.947
BATF	BCL6	Ise et al, 2011, The transcription factor BATF controls the global regulators of classswitch recombination in both B cells and T cells	promotes	0.615	0	0.5	0.179	0.679	0.947
BATF	PRDM1	Xin et al, A Critical Role of IL-21-Induced BATF in Sustaining CD8-T-Cell-Mediated Chronic Viral Control	promotes	1	1	1	0.857	0.714	0.053
BATF	EOMES	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	promotes	0.923	0.923	1	0.929	0.714	0.947
BATF	IRF4	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	inhibits	0	0	0.188	0.5	0.179	0.737
BATF	NFATC2	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	promotes	0.077	0.538	0.625	0.464	0.571	0.632
BATF	NFKB1	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	promotes	0	0	0.188	0.143	0.429	0.842
BATF	RUNX3	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	promotes	0	0.538	0	0	0	0.158
BATF	TBX21	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	promotes	0	0	0	0	0	0
BCL6	GZMB	Yoshida et al, 2006, Bcl6 controls granzyme B expression in effector CD8A+ T cells 	inhibits	0.385	1	0.5	0.821	0.429	1
BCL6	ID2	Leong et al, 2016, CXCR5+ follicular cytotoxic T cells control viral infection in B cell follicles	inhibits	0.385	1	0.5	0.821	0.536	1
BCL6	LEF1	Leong et al, 2016, CXCR5+ follicular cytotoxic T cells control viral infection in B cell follicles	promotes	0	0	0.5	0.821	0.25	0
BCL6	PRDM1	Vasanwala et al,  Repression of AP-1 function: a mechanism for the regulation of Blimp-1 expression and B lymphocyte differentiation by the B cell lymphoma-6 protooncogene. Leong et al, 2016, CXCR5+ follicular cytotoxic T cells control viral infection in B cell follicles	inhibits	0.385	1	0.5	0.75	0.321	1
BCL6	TCF7	Leong et al, 2016, CXCR5+ follicular cytotoxic T cells control viral infection in B cell follicles	promotes	0.385	1	0.5	0.679	0.536	1
BTLA	AKT1	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.231	1	0	0	0	1
BTLA	AKT2	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.385	0.538	0	0	0	0.368
BTLA	AKT3	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.769	0	0	0	0	0.421
BTLA	NFKB1	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.769	0	0	0	0	0.158
BTLA	NFKB2	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.385	0.462	0	0	0	0.053
BTLA	PIK3CA	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.769	0.462	0	0	0	0.421
BTLA	PIK3CB	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.769	0	0	0	0	0.526
BTLA	PIK3CG	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.538	0.923	0	0	0	0.947
BTLA	PRKCQ	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.769	0.077	0	0	0	0.263
BTLA	REL	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	promotes	0.846	0.462	0	0	0	0.895
BTLA	RELA	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.769	0.615	0	0	0	0.316
BTLA	RELB	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.615	0.462	0	0	0	0
CA	NFATC1	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0	0	0	0	0	0
CA	NFATC2	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0	0	0	0	0	0
CD160	IFNG	Vigano et al, 2014, CD160-Associated CD8 T-Cell Functional Impairment Is Independent of PD-1 Expression	inhibits	0	0	0	0	0.571	0
CD160	IL2	Vigano et al, 2014, CD160-Associated CD8 T-Cell Functional Impairment Is Independent of PD-1 Expression	inhibits	0	0	0.438	0.429	0.429	0
CD244	CA	Maghazachi, 2005, Insights into Seven and Single Transmembrane-Spanning Domain Receptors and Their Signaling Pathways in Human Natural Killer Cells	promotes	0	0	0	0	0	0
CD244	MAPK1	Maghazachi, 2005, Insights into Seven and Single Transmembrane-Spanning Domain Receptors and Their Signaling Pathways in Human Natural Killer Cells	promotes	0.692	0.308	0.125	0.571	0.179	0.316
CD244	MAPK3	Maghazachi, 2005, Insights into Seven and Single Transmembrane-Spanning Domain Receptors and Their Signaling Pathways in Human Natural Killer Cells	promotes	0	0	0	0	0	0
CD244	NFATC1	Maghazachi, 2005, Insights into Seven and Single Transmembrane-Spanning Domain Receptors and Their Signaling Pathways in Human Natural Killer Cells	promotes	0.692	0.846	1	0.429	0.964	0.842
CD244	NFATC2	Maghazachi, 2005, Insights into Seven and Single Transmembrane-Spanning Domain Receptors and Their Signaling Pathways in Human Natural Killer Cells	promotes	0.077	0.538	0.625	0.464	0.571	0.368
CD244	NFKB1	Kwon et al, 2015, Stepwise phosphorylation of p65 promotes NF-kB activation and NK cell responses during target cell recognition	promotes	0	0	0.188	0.429	0.286	0.158
CD244	NFKB2	Kwon et al, 2015, Stepwise phosphorylation of p65 promotes NF-kB activation and NK cell responses during target cell recognition	promotes	0.846	0.462	0.625	0.5	0.643	0.053
CD244	REL	Kwon et al, 2015, Stepwise phosphorylation of p65 promotes NF-kB activation and NK cell responses during target cell recognition	promotes	0.615	0.538	0.625	0.464	0.536	0.105
CD244	RELA	Kwon et al, 2015, Stepwise phosphorylation of p65 promotes NF-kB activation and NK cell responses during target cell recognition	promotes	0	0.615	0.062	0.5	0.107	0.316
CD244	RELB	Kwon et al, 2015, Stepwise phosphorylation of p65 promotes NF-kB activation and NK cell responses during target cell recognition	promotes	0.154	0.462	0.625	0.429	0.643	0
CD247	AKT1	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.077	0.077	0.75	0.607	0.821	1
CD247	AKT2	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.538	0.538	0	0	0	0.368
CD247	AKT3	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.923	0.923	0	0	0	0.421
CD247	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	1	0.615	0.25	0.536	0.393	0.526
CD247	FOS	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.385	0.769	0	0	0	0.211
CD247	JUN	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	1	1	0.625	0.286	0.571	0.053
CD247	JUNB	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.538	0.462	0.562	0.393	0.607	0
CD247	JUND	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	1	0.769	0.438	0.321	0.393	0.684
CD247	NFATC1	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0.385	0.231	0.062	0.607	0.143	0.842
CD247	NFATC2	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	1	0.538	0.312	0.357	0.321	0.368
CD247	NFKB1	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.923	0.923	0.875	0.536	0.75	0.158
CD247	NFKB2	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.231	0.462	0.312	0.464	0.393	0.053
CD247	REL	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.308	0.385	0.312	0.429	0.429	0.105
CD247	RELA	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.923	0.462	1	0.607	0.857	0.316
CD247	RELB	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.769	0.462	0.312	0.464	0.321	0
CD247	ZAP70	Muller and Rao, 2008, NFAT, immunity and cancer: a transcription factor comes of age	promotes	0	0	0.312	0.607	0.357	0
CD274	ZAP70	Xia et al, 2015, Signaling pathway and dysregulation of PD1 and its ligands in lymphoid malignancies	inhibits	0	0	0	0	0	0
CD28	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0.077	0.692	0.438	0.25	0.107	0.579
CD28	HRAS	Chen and Flies, 2013, Molecular mechanisms of T cell costimulation and coinhibition	promotes	1	0.462	0	0	0	0.211
CD28	KRAS	Chen and Flies, 2013, Molecular mechanisms of T cell costimulation and coinhibition	promotes	0	0.462	0.375	0.643	0.643	0.632
CD28	NFKB1	Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0	0.385	0.438	0.536	0.679	0.842
CD28	NRAS	Chen and Flies, 2013, Molecular mechanisms of T cell costimulation and coinhibition	promotes	0	0.462	0.312	0.393	0.464	0.211
CD28	PIK3CA	Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0	0.846	0.438	0.5	0.643	0.579
CD28	PIK3CB	Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0	0.385	0	0	0	0.579
CD28	PIK3CG	Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0.385	0.692	0	0	0	0.158
CD28	PRKCQ	Dustin, PKC-?: hitting the bull’s eye, 20011. Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0	0.308	0.375	0.5	0.643	0.737
CD28	RELA	Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0	0.846	0.312	0.75	0.714	0.684
CD3D	AKT1	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0	0	0.688	0.75	0.714	0
CD3D	AKT2	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0	0	0	0	0	0
CD3D	AKT3	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0	0	0	0	0	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.312	0.679	0.429	0
CD3D	FOS	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0	0	0	0	0	0
CD3D	JUN	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0	0	0.438	0.5	0.607	0
CD3D	JUNB	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0	0	0.5	0.75	0.643	0
CD3D	JUND	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0	0	0.25	0.464	0.429	0
CD3D	NFATC1	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0	0	0.25	0.464	0.25	0
CD3D	NFATC2	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0	0	0.25	0.571	0.357	0
CD3D	NFKB1	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0	0	0.938	0.179	0.929	0
CD3D	NFKB2	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0	0	0.25	0.679	0.357	0
CD3D	REL	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0	0	0.125	0.357	0.25	0
CD3D	RELA	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0	0	0.812	0.536	0.821	0
CD3D	RELB	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0	0	0.25	0.75	0.286	0
CD3D	ZAP70	Muller and Rao, 2008, NFAT, immunity and cancer: a transcription factor comes of age	promotes	0	0	0.5	0.536	0.464	0
CD3E	AKT1	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0	0	0.438	0.607	0.464	0
CD3E	AKT2	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0	0	0	0	0	0
CD3E	AKT3	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0	0	0	0	0	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0	0	0.438	0.607	0.393	0
CD3E	FOS	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0	0	0	0	0	0
CD3E	JUN	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0	0	0.062	0.571	0.357	0
CD3E	JUNB	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0	0	0.625	0.607	0.464	0
CD3E	JUND	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0	0	0.75	0.536	0.536	0
CD3E	NFATC1	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0	0	0.75	0.607	0.714	0
CD3E	NFATC2	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0	0	0.375	0.429	0.393	0
CD3E	NFKB1	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0	0	0.438	0.179	0.464	0
CD3E	NFKB2	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0	0	0.375	0.607	0.393	0
CD3E	REL	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0	0	0.375	0.5	0.357	0
CD3E	RELA	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0	0	0.312	0.464	0.286	0
CD3E	RELB	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0	0	0.375	0.536	0.393	0
CD3E	ZAP70	Muller and Rao, 2008, NFAT, immunity and cancer: a transcription factor comes of age	promotes	0	0	1	0.679	0.929	0
CD3G	AKT1	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0	0.923	0.375	0.321	0.643	0.947
CD3G	AKT2	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.462	0.615	0	0	0	0.316
